Command		Meaning
------------------------------------------------------------------------------------------
<esc>(A		Set the G0 character set to UK
<esc>(B		Set the G0 character set to USA ASCII
<esc>(C		Set the G0 character set to Finnish
<esc>[?1h		Put Cursor Keys in App mode
<esc>[?1l		Take cursor keys out of App mode
<esc>[?7h		Switch on Auto-Wrap
<esc>[?7l		Switch off Auto-Wrap
<esc>[?12h		switch on cursor blinking
<esc>[?12l		switch off cursor blinking
<esc>[?25h		make cursor visible
<esc>[?25l		hide cursor
<esc>[?1000h		switch on sending mouse X + Y positions on button press and release
<esc>[?1000l		switch off sending mouse X + Y on button press and release
<esc>[?1002h		switch on using Cell Motion mouse tracking
<esc>[?1002l		switch Cell Motion mouse tracking off
<esc>[?1004h		enable reporting focus
<esc>[?1004l		disable reporting focus
<esc>[?1006h		enable mouse mode
<esc>[?1006l		disable mouse mode
<esc>[?1049h		switch to alternative screen buffer
<esc>[?1049l		switch back to main screen buffer
<esc>[?2004h		switch bracketed paste mode on
<esc>[?2004l		switch bracketed paste mode off
<esc>[<P1>@		insert <P1> space characters ahead of the cursor position
<esc>[<P1>A		Move cursor up by <P1> lines (no <P1> = 1 line)
<esc>[<P1>B		Move cursor down by <P1> lines (no <P1> = 1 line)
<esc>[<P1>C		Move cursor forward by <P1> characters (no <P1> = 1 character)
<esc>[<P1>D		Move cursor back by <P1> characters (no <P1> = 1 character)
<esc>[<P1>E		Move the cursor to the next line start, going down by <P1> lines (no <P1> means just the next line)
<esc>[<P1>F		Move the cursor to the previous line start, going up by <P1> lines (no <P1> means just the previous line)
<esc>[<P1>G		Move the cursor to the <P1>th column in the current line (first column = 1, no <P1> = column 1)
<esc>[<P1>;<P2>H	Move the cursor to the location specified by line (i.e. row)<P1> and column <P2>; home = 1,1 (no <P1> or <P2> = 1,1)
<esc>[<P1>I		Move the cursor <P1> tab stops forward
<esc>[<P1>J		Erase display: <P1>=0 -> Clear from cursor to end of screen, <P1>=1 -> Clear from TLH corner to cursor, <P1>=2 -> clear the screen, <P1>=3 => clear the entire buffer
<esc>[<P1>K		Erase in line: <P1>=0 -> clear from cursor to end of line, <P1>=1 -> clear from cursor to beginning of line, <P1>=2 -> clear the entire line
<esc>[<P1>L		Insert <P1> blank lines (even in overwrite)
<esc>[<P1>P		Delete <P1> characters
<esc>[<P1>S		Scroll up <P1> lines
<esc>[<P1>T		Scroll down <P1> lines
<esc>[<P1>Z		Cursor Backward Tabulation <P1> tab stops
<esc>[<P1>c		Send device attributes (Primary DA) [currently sends back "<esc>[?1;0c"]
<esc>[<P1>d		Position the cursor on the current line at the absolute <P1> position
<esc>[<P1>g		Clear the tab stops: <P1>=0 -> at the current position, <P1>=3 -> all tab stops
<esc>[<P1>h		Reset Mode: <P1>=2 -> Keyboard action mode on, <P1>=4 -> switch to insert, <P1>=12 Send/receive, <P1>=20 -> Automatic new line on
<esc>[<P1>i		Serial port control (media copy)
<esc>[<P1>l		Reset Mode: <P1>=2 -> Keyboard action mode off, <P1>=4 -> switch to overwrite, <P1>=12 Send/receive, <P1>=20 -> Automatic new line off
<esc>[<P1>;..m	Set or reset font colouring and styles
<esc>[<P1>n		Device status request: <P1>=5 -> status report 'OK' [sends back "<esc>[0n"], <P1>=6 report cursor position [sends back "<esc>[<line>;<col>R"]
<esc>[<P1>;<P2>r	Set scrtolling region to between line <P1> and <P2> inclusive (top line = line 1)
<esc>[s		Save cursor position
<esc>[<P1>;<P2>t	Window manipulation: <P1>=21 -> report terminal's title, <P1>=22 -> Save icon (<P2>=0 or 1) and window title (<P2>=0 or 2) on stack, <P1>=23 -> restore icon and/or title from stack
<esc>[u		Restore cursor position
<esc>[<P1>~
<esc>H		Set a tab stop for the current column that the cursor is in
<esc>M		Reverse Index (move the cursor up one line, maintaining horizontal position and scrolling the buffer in the scrolling region if necessary
<esc>Z		Return the terminal ID [sends back "<esc>/Z"]
<esc>\		This is the String Terminator (e.g. might be used in the title name, but Linux uses <BEL> there)
<esc>]0<P1><esc>\	Operating system command: Title: <P1>=title
<esc>]8<P1><esc>\	Operating system command: Hyperlink <P1>=hyperlink
<esc>]10?		Operating system command: Query foreground colour [sends back "<esc>]10;<red>;<grn>;<blu><BEL>"]
<esc>]11?		Operating system command: Query background colour [sends back "<esc>]10;<red>;<grn>;<blu><BEL>"]
<esc>=		Set keypad keys into Application mode
<esc>>		Take keypad keys out of Application mode
<esc><		Exit the  terminal
